"","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"1",10379,9085,8421,8176,7916,7335,7086,6859,6699,6658,6277,6301,6227,6255,6352,6128,5890,5978,5797,5719,4860
"2",1328,1088,1083,1033,1002,953,872,851,792,848,752,857,789,795,699,747,680,712,695,560,NA
"3",415,431,420,349,369,391,340,341,290,266,267,261,278,295,246,280,266,240,271,151,NA
"4",292,275,267,253,259,243,234,219,198,201,178,191,202,142,184,174,188,180,138,NA,NA
"5",218,198,202,154,159,168,165,158,177,146,146,133,135,108,135,143,144,152,87,NA,NA
"6",163,136,162,139,113,105,131,114,126,122,113,101,109,117,101,111,104,80,NA,NA,NA
"7",154,132,116,128,116,88,135,106,116,98,98,100,77,81,93,111,106,69,NA,NA,NA
"8",127,96,123,98,117,83,78,93,80,85,72,68,75,71,63,78,59,NA,NA,NA,NA
"9",120,118,109,91,90,105,81,87,83,80,77,74,69,65,79,71,55,NA,NA,NA,NA
"10",86,95,83,70,82,89,75,63,73,66,63,73,70,73,57,42,NA,NA,NA,NA,NA
